Name,OOS,,Total Verses,Verses to Sing,Familiarity,Service Index,Key,NVB,SSH,MAJ,NVR,Date of Most Recent Use,First Line,Notes,ID,Blood,Christmas,Cross,Easter,Grace,Heaven,Holy Spirit,Invitation,Missions,Patriotic,Prayer,Salvation,Second Coming,Bible,Calvary,Great Hymns,Service,Thanksgiving,Assurance,Christian Warfare,Comfort & Guidance,Consecration,Consolation,Faith & Trust,Joy & Singing,Love,Praise,Resurrection,Soul Winning & Service,Testimony,Lyrics,Log,Words,Music
Glorious Things of Thee Are Spoken,"All: 1, 2, 3","NVB | ""Glorious Things of Thee Are Spoken"" (38) [3]",3,"All: 1, 2, 3",,2,F,38,,93,187,,Glorious things of thee are spoken,,1038,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,John Newton,
Great is the Lord,Chorus 2x,"NVB | ""Great is the Lord"" (39) [C]",C,Chorus 2x,,,F,39,,,,,"Great is the Lord, and greatly to be praised",,1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Ewing,
Leaning on the Everlasting Arms,"All: 1, 2, 3","147 | ""Leaning on the Everlasting Arms"" (40) [3]",3,"All: 1, 2, 3",,1C,A,40,147,459,285,,"What a fellowship, what a joy divine",,1040,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Elisha A. Hoffman,
Jesus Is the Sweetest Name,"All: 1, 2, 3","156 | ""Jesus Is the Sweetest Name"" (41) [3]",3,"All: 1, 2, 3",,,D,41,156,627,407,,There have been names that I have loved to hear,,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Lela Long,
What a Lovely Name,"All: 1, 2, 3","NVB | ""What a Lovely Name"" (42) [3]",3,"All: 1, 2, 3",,3/4,C,42,,,,,The holy prophets say that a King will come someday,,1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles B. Wycuff,
His Name Is Wonderful,Chorus 2x,"NVB | ""His Name Is Wonderful"" (43) [C]",C,Chorus 2x,,,F,43,,24,254,,His name is Wonderful,,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audrey Mieir,
All Hail the Power of Jesus' Name [Coronation],"1, 2, 4","167 | ""All Hail the Power of Jesus' Name [Coronation]"" (44) [4]",4,"1, 2, 4",,1A,G,44,167,12,531,,All hail the pow'r of Jesus’ name!,,1044,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,Edward Perronet,
That Beautiful Name,"1, 2, 4","NVB | ""That Beautiful Name"" (45) [4]",4,"1, 2, 4",,3/4,G,45,,170,454,,"I know of a name, a beautiful name",,1045,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jean Perry, Alt.",
Crown Him With Many Crowns,"1, 2, 4","160 | ""Crown Him With Many Crowns"" (46) [4]",4,"1, 2, 4",,1A,E,46,160,46,221,,Crown Him with many crowns,,1046,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,Matthew Bridges & Godfrey Thring,
Jesus and Me,"All: 1, 2, 3","NVB | ""Jesus and Me"" (47) [3]",3,"All: 1, 2, 3",,1C,C,47,,,193,,"In the dark of the night, not a star in the sky",,1047,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Ira F. Stanphill,
